<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.29	12980.32	13017.12	12820.06	12977.30	99018	0	200
2021.03.30	12984.88	12997.50	12793.20	12903.60	89013	0	200
2021.03.31	12902.58	13171.39	12872.23	13099.70	82513	0	200
2021.04.01	13105.19	13341.32	13105.19	13337.20	80800	0	200
2021.04.02	13338.46	13400.03	13335.59	13372.27	21429	0	300
2021.04.05	13345.40	13626.26	13313.40	13608.90	84043	0	200
2021.04.06	13609.92	13661.36	13532.43	13590.80	109975	0	200
2021.04.07	13589.84	13650.26	13520.73	13628.50	103757	0	200
2021.04.08	13627.45	13797.56	13623.46	13796.90	100589	0	200
2021.04.09	13796.04	13848.67	13655.60	13818.77	108181	0	200
2021.04.12	13826.98	13841.10	13743.27	13833.90	86945	0	200
2021.04.13	13833.90	14001.85	13782.17	13982.60	76976	0	200
2021.04.14	13982.60	14036.83	13781.05	13834.00	78880	0	200
2021.04.15	13834.00	14039.51	13796.19	14004.10	80341	0	200
2021.04.16	14004.10	14065.81	13960.53	14026.95	76310	0	200
2021.04.19	13997.69	14061.11	13831.74	13898.70	84152	0	200
2021.04.20	13898.90	13943.31	13729.28	13740.50	88886	0	200
2021.04.21	13740.40	13936.68	13711.31	13901.70	85755	0	200
2021.04.22	13901.70	13954.59	13714.59	13772.20	84794	0	200
2021.04.23	13772.20	13989.82	13749.72	13924.16	75119	0	200
2021.04.26	13929.03	14048.06	13875.30	14029.90	74683	0	200
2021.04.27	14029.90	14060.56	13926.24	13961.70	70369	0	200
2021.04.28	13961.70	14004.73	13891.63	13981.10	74966	0	200
2021.04.29	13981.10	14075.70	13831.52	13956.90	77802	0	200
2021.04.30	13956.90	13968.58	13831.03	13877.40	81717	0	200
2021.05.03	13890.08	13956.93	13782.37	13793.80	73677	0	200
2021.05.04	13793.80	13801.00	13392.53	13532.60	81877	0	200
2021.05.05	13531.10	13677.29	13476.21	13495.60	79905	0	200
2021.05.06	13495.60	13622.48	13400.87	13614.90	87433	0	200
2021.05.07	13614.80	13821.87	13595.41	13724.13	77325	0	200
2021.05.10	13718.35	13758.24	13315.18	13316.40	80876	0	200
2021.05.11	13316.40	13383.25	13074.53	13324.00	134256	0	200
2021.05.12	13324.00	13358.86	12967.49	12971.40	152538	0	200
2021.05.13	12971.40	13228.53	12922.25	13095.20	150804	0	200
2021.05.14	13095.20	13430.45	13075.84	13398.44	125377	0	200
2021.05.17	13388.43	13452.66	13190.69	13320.00	125732	0	200
2021.05.18	13320.00	13438.52	13186.34	13194.30	106538	0	200
2021.05.19	13194.30	13246.58	12958.57	13223.10	141304	0	200
2021.05.20	13223.10	13525.00	13155.46	13490.40	117088	0	200
2021.05.21	13490.40	13571.43	13399.27	13413.70	110339	0	200
2021.05.24	13386.64	13687.32	13359.90	13651.10	98161	0	200
2021.05.25	13651.10	13739.05	13610.03	13671.10	108936	0	200
2021.05.26	13671.10	13728.82	13659.63	13705.60	102365	0	200
2021.05.27	13705.60	13723.52	13622.24	13695.80	108592	0	200
2021.05.28	13695.80	13765.11	13663.37	13694.72	87318	0	200
2021.05.31	13697.83	13719.83	13653.94	13659.60	47204	0	200
2021.06.01	13656.93	13774.20	13597.30	13650.60	104400	0	200
2021.06.02	13650.60	13714.19	13606.54	13679.00	106264	0	200
2021.06.03	13673.60	13705.74	13465.29	13532.10	110689	0	200
2021.06.04	13531.80	13784.05	13466.55	13758.30	102681	0	200
2021.06.07	13772.64	13824.00	13690.92	13823.60	99083	0	200
2021.06.08	13823.60	13915.65	13742.33	13811.50	112951	0	200
2021.06.09	13811.50	13902.04	13802.17	13810.80	103453	0	200
2021.06.10	13810.70	13974.08	13726.30	13972.20	104764	0	200
2021.06.11	13972.20	13998.43	13932.85	13993.56	96897	0	200
2021.06.14	13995.73	14130.14	13965.14	14115.30	95395	0	200
2021.06.15	14115.40	14159.63	14007.46	14043.10	95618	0	200
2021.06.16	14040.94	14101.74	13839.81	13935.40	100428	0	200
2021.06.17	13943.81	14205.01	13848.20	14183.40	125304	0	200
2021.06.18	14183.50	14210.84	14019.10	14050.63	118180	0	200
2021.06.21	14016.82	14151.03	13968.00	14144.20	135026	0	200
2021.06.22	14144.20	14288.90	14073.86	14279.10	109488	0	200
2021.06.23	14279.10	14325.18	14243.43	14285.00	104958	0	200
2021.06.24	14284.70	14430.89	14278.86	14367.80	97778	0	200
2021.06.25	14367.80	14403.38	14321.98	14333.70	93907	0	200
2021.06.28	14346.03	14528.42	14341.81	14509.90	94338	0	200
2021.06.29	14507.50	14593.15	14477.08	14590.30	96911	0	200
2021.06.30	14591.20	14607.25	14526.66	14562.70	103247	0	200
2021.07.01	14562.80	14610.01	14480.98	14548.60	106318	0	200
2021.07.02	14548.70	14735.82	14521.50	14718.66	94731	0	200
2021.07.05	14711.77	14729.26	14682.13	14697.38	49921	0	200
2021.07.06	14699.90	14795.41	14634.35	14770.50	108203	0	200
2021.07.07	14770.50	14891.42	14735.74	14818.00	110758	0	200
2021.07.08	14818.00	14829.97	14549.92	14721.40	134496	0	0
2021.07.09	14724.30	14839.65	14648.53	14818.78	115849	0	200
2021.07.12	14832.11	14896.51	14792.31	14885.40	106412	0	200
2021.07.13	14885.40	15001.26	14801.62	14870.20	104448	0	200
2021.07.14	14870.20	15002.44	14848.69	14902.20	116057	0	200
2021.07.15	14902.20	14968.47	14715.49	14781.20	121373	0	200
2021.07.16	14781.20	14873.98	14666.35	14674.01	118081	0	200
2021.07.19	14683.76	14690.38	14451.50	14597.10	142942	0	200
2021.07.20	14603.15	14790.55	14525.35	14734.70	127854	0	200
2021.07.21	14737.02	14848.60	14677.46	14848.00	118111	0	200
2021.07.22	14846.10	14993.75	14836.61	14988.00	104656	0	200
2021.07.23	14989.89	15125.59	14945.67	15104.25	99012	0	200
