<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.20	02:00:00	11978.73	11984.64	11975.77	11983.77	845	0	200
2022.09.20	02:30:00	11983.65	12003.77	11983.65	12003.77	1899	0	200
2022.09.20	03:00:00	12003.40	12018.12	11999.31	12007.83	2361	0	200
2022.09.20	03:30:00	12007.71	12010.45	11979.45	11986.99	2272	0	200
2022.09.20	04:00:00	11986.74	11987.77	11961.97	11967.68	2253	0	200
2022.09.20	04:30:00	11967.55	11980.25	11959.82	11975.05	2462	0	200
2022.09.20	05:00:00	11974.55	11983.04	11966.90	11982.79	1911	0	200
2022.09.20	05:30:00	11982.91	11983.78	11969.32	11979.43	1597	0	200
2022.09.20	06:00:00	11980.05	11982.13	11972.31	11975.01	1390	0	200
2022.09.20	06:30:00	11974.89	11985.07	11974.24	11983.09	1294	0	200
2022.09.20	07:00:00	11982.97	11987.09	11979.27	11982.29	1109	0	200
2022.09.20	07:30:00	11982.17	11988.37	11977.73	11981.67	1017	0	200
2022.09.20	08:00:00	11981.79	11992.75	11977.73	11992.38	1398	0	200
2022.09.20	08:30:00	11992.50	11994.86	11985.03	11988.63	1448	0	200
2022.09.20	09:00:00	11988.50	11989.74	11967.30	11973.36	2167	0	200
2022.09.20	09:30:00	11973.11	11983.86	11963.13	11974.95	1959	0	200
2022.09.20	10:00:00	11974.58	12013.99	11969.01	11993.30	3775	0	200
2022.09.20	10:30:00	11993.18	11997.64	11931.87	11938.85	4008	0	200
2022.09.20	11:00:00	11938.98	11940.22	11902.09	11920.11	3561	0	100
2022.09.20	11:30:00	11920.36	11936.36	11914.94	11918.53	2841	0	200
2022.09.20	12:00:00	11918.40	11922.76	11879.12	11893.40	2984	0	100
2022.09.20	12:30:00	11893.52	11904.48	11874.72	11890.83	3172	0	200
2022.09.20	13:00:00	11891.20	11893.07	11871.03	11892.45	3128	0	200
2022.09.20	13:30:00	11892.08	11898.55	11880.89	11896.23	2589	0	200
2022.09.20	14:00:00	11896.10	11914.09	11886.49	11904.62	2993	0	200
2022.09.20	14:30:00	11904.37	11905.56	11878.25	11878.25	2835	0	200
2022.09.20	15:00:00	11878.38	11885.81	11842.74	11846.22	3792	0	200
2022.09.20	15:30:00	11847.33	11877.84	11846.83	11866.52	3715	0	200
2022.09.20	16:00:00	11865.77	11877.92	11841.02	11843.90	3828	0	200
